,0
200,"

비철금속
광물자원용어사전

① 철 이외의 금속으로 구리, 알루미늄, 니켈, 납과 같은 금속의 총칭.② Fe 이외의 것을 주체로 한 합금을 말한다. 주체로 하는 Fe 이외의 금속으로는 Ni, Cu, Pb, Zn와 Al, Mg, Sn 등이 대표적인 것이다. 이것들은 각각 Ni합금, Cu합금이라고 한다.
외국어 표기 non-ferrous metal(영어), 比鐵金屬(한자)

"
201,"

광명단
도해 기계용어사전

일종의 사삼산화연(四三酸化鉛). 연단ㆍ적연이라고도 말한다. 납 또는 산화연을 공기속에서 400℃ 이상으로 가열하여 만든 붉은빛의 가루. 붉은 안료, 납유리의 제조, 녹슬지 않게 하는 도료 등으로 쓰인다.또한 공작물의 凹凸을 끼워맞춤 작업시 조사용으로 사용된다. 분자식 Pb3O4. (→ 끼워맞춤 작업 참조)
외국어 표기 minium(영어), red lead(영어), 光明丹(한자), 光明丹（こうみようたん）(일본어)
참조어 끼워맞춤

"
202,"토지에 정착하여 설치된 건물 · 공작물로, 기둥 · 보 · 슬래브 · 벽 등의 뼈대에 의해 구성된 것."
203,"

생산 녹지
토목용어사전

도시와 그 근교에서 농지나 임야가 무계획으로 잃어가고 있어 법을 제정하여 도시계획법에 의해 시가화 구역 중에서 현존 또는 당면은 그대로 토지를 이용해 가고자 하는 구역을 지주와 행정측의 협의에 따라 지정한 농지나 임야를 말한다. 이것은 농지나 임야가 넓은 뜻의 녹지로서의 존재 의식이 높아졌기 때문이다.
외국어 표기 productive green(영어), 生産綠地(한자)

"
204,커플로 사용하는 2인용의 긴 의자.
205,"

럭스
비파괴 검사 용어사전

조명이 밝은 정도를 말하는 조명도의 단위. 기호는 lx로 나타낸다. 1lx는 면적 1m2에 1lm인 광속이 고르게 분포되어 있을 때의 표면의 조명도이다. 1lx＝1lm/m2. 즉 1cd(candle)인 일정한 광원으로부터 1m 떨어진 표면에 직접 비추는 것과 동등한 밝기가 1lx이다.
외국어 표기 Lux(영어)
사용분야 Visual Testing - 육안시험

"
206,"건물 내의 초기적 단계의 화재를 소화하는 설비. 옥내 소화전, 스프링클러, 물분무 소화 설비, 거품 소화 설비, 탄산가스 소화 설비가 있다."
207,전선의 인출구를 두는 데 편리하도록 바닥 슬래브 속에 매입한 배선용의 장방형 단면을 한 강철제 덕트.
208,"근대 사회의 건축 일반을 총칭하여 사용되는 경우도 있으나, 통상은 미술에 있어서의 「모던 아트」와 마찬가지로 근대에 있어서의 새로운 건축 사상이나 새로운 건축 운동과 더불어 창조되어온 건축을 가리켜서 말한다."
209,기둥 사이가 클 때 중간에 보조적으로 세우는 작은 단면의 수직재. 벽의 측부재(軸部材)의 하나. 벽면에서 걸리는 힘을 주가구(主架構)에 전달하는 역할을 한다.
210,"건축 공사에서는 건축주가 종합 시공 업자에 의뢰하지 않고 자력으로 자재, 노무자, 기계 설비 등을 조달하여 공사를 하는 방식. 전 공사를 직영하는 경우와 공사의 한 부문을 직영으로 하는 경우가 있으나 전자는 드물다."
211,"복사열에 의한 난방. 천장, 벽, 바닥 등에 파이프 코일을 매입하여 온수를 통하는 방법, 전열선을 매입하는 방법, 덕트를 바닥 하면에 배치하고 여기에 온풍을 통하는 방법 등이 있다. 실내에 방열기가 나타나지 않고, 온도 환경은 뛰어나지만 건축과 일체화하기 때문에 시공상의 주의가 필요하다."
212,"

멤브레인 방수
건축용어사전

아스팔트 펠트, 아스팔트 루핑을 3~5층 겹쳐, 그 때마다 용융 아스팔트로 바탕에 붙여서 방수층을 구성하는 방수 공법. 일반적으로 아스팔트 방수라고 부르는 경우가 많다.

"
213,"하나의 색상 중에서 채도가 가장 높은 선명한 색. 먼셀 색상환에서 색상 기호 5의 색은 순색이며, 10순색이라 부른다. 그림은 순색의 예(색상 5R, 5Y의 순색)이다."
214,"

임펠러
광물자원용어사전

① 런너라고 한다. 증기터빈이나 반동수차에 있어서 주위에 다수의 날개를 갖추고 이것에 증기 또는 물의 에너지를 받아서 회전하는 바퀴.② 원심형펌프의 주요 부분으로 곡면을 지닌 날개 수매를 갖춘 바퀴. 이것의 외주에는 고정된 안날개가 있으며 물은 임펠러의 회전에 의해 그 중심에서 빨아 올려져서 안내날개를 통하여 바깥쪽으로 흐른다.
외국어 표기 impeller(영어), runner(영어)

"
215,"

백색광
과학용어사전

색상의 감각을 반사하지 않는 빛. 태양광처럼 각 파장의 광선이 혼합되어 있다. 백색광은 가시광선의 전역에 걸쳐서 연속한 스펙트럼에 의하여 실현되는 빛이다. 프리즘 등을 통해 백색광을 분산시키면 다양한 색의 빛이 나온다.
외국어 표기 白色光(한자), white light(영어)

"
216,되도록 같은 길이의 직선 부재를 써서 구면(球面) 분할을 한 트러스 구조에 의한 돔 형식의 하나. 정20면체를 기본으로 잘게 분할해 가는 경우가 많다.
217,벽 등의 콘크리트 시공에서 상대하는 거푸집의 간격을 일정하게 유지하기 위해 사용하는 볼트.
218,"

크리프
화학용어사전

물체에 외력을 가하였을 때, 물체가 순간적으로 변형하지 않고 비틀림의 증가가 시간적으로 지연을 나타내는 현상. 크리프는 결정 고체의 소성 변형, 점탄성에 의한 지연탄성 및 유동에 의해 생긴다. 또 점탄성체는 탄성 회복시에 시간적 지연을 보이는데, 이것을 크리프 회복이라 한다.
외국어 표기 creep(영어)

"
219,"석재, 벽돌, 콘크리트 블록 등의 재료를 조적하는 공사."
220,"주차 방법의 하나로, 차로(車路)측에 평행하게 주차하는 방법."
221,"도장 공사의 하나로, 수성 페인트를 솔 · 스프레이 건 등으로 칠하는 공사. 내 알칼리성 실내의 도장에 적합하다. 최근에는 에밀션 도료가 이를 대신해 가고 있다."
222,"

부스터 펌프
공조냉동건축설비 용어사전

고층 빌딩의 배관시 건물 중간층에 설치하는 승압용의 펌프로서, 소화설비의 연결 송수관 또는 소방차의 펌프 물을 높은 곳으로 송수할 때 이용되고 있다. 승압용 펌프 또는 증압용 펌프라고도 한다.
외국어 표기 booster pump(영어)
동의어 증압용 펌프

"
223,"

지수판
토목용어사전

수밀을 필요로 하는 콘크리트의 이음 부분에 쓰이는 판. 동판 · 스테인리스판 · 인조 고무판 등 수밀성 · 내구성이 큰 재료로 만들어지고 신축에 대응할 수 있는 형식으로 되어 있다.
외국어 표기 cut-off plate(영어), 止水板(한자)
동의어 차수판(遮水板)

"
224,"기둥의 최하부로, 기둥이 받는 힘을 기초로 전하는 부분. 주각의 구조 형식으로는 고정식과 핀식이 있다. 그림은 철골 구조의 주각을 나타낸 것이다."
225,천장을 매달아 고정하기 위한 부재.
226,"천장이나 벽 상부에 빛을 보내기 위한 조명 장치. 광원이 선반이나 오목한 부분에 의해서 가리어져 있는 점이 특징이며, 휘도가 균일하게 된다."
227,"

테라조 타일
건축용어사전

30㎝각 또는 40㎝각 등의 규격 치수로 공장에서 성형, 생산된 테라조의 판.
외국어 표기 terrazzo tile(영어)

"
228,"그림에서 미소 면적 dA와 x축으로부터의 거리 y, y축으로부터의 거리 x와의 곱 dAxy를 단면 전체에 대해서 모은 것을 말하며, 다음 식으로 나타낸다."
229,"탄소강의 일종. 강은 탄소 C의 함유량에 따라 분류되며, 연강은 C의 함유량이 0.15~0.28%이다. 토목 · 건축의 일반 구조용재로서 형강 · 강판 · 철근으로, 또 선박 · 차량 등에 사용된다."
230,"

비선형
광용어사전

《사진 감광 재료》 사진 감광 재료의 농도와 노광량의 대수치가 직선적 관계에 있지 않는 것.
			노광량이 너무 크거나 작거나 하면 솔러리제이션이나 상반 법칙 불궤 등을 일으켜 비선형이 된다. 홀로그램의 기록에 사용하는 경우에는 진폭투과율과 노광량이 직선적 관계에 있지 않다는 것을 가리키는 경우가 많다.
		
외국어 표기 nonlinearity(영어), 非線形(한자)

"
231,"벽돌을 사용하여 벽이나 담을 구축하는 것. 또 그 완성된 상태. 벽돌쌓기는 영국식, 네델란드식, 프랑스식 등이 있고, 벽두께에 따라 반장 쌓기, 1매 쌓기, 1.5매 쌓기, 2매 쌓기 등이 있다."
232,건축물의 전면 또는 광범위한 부분에 걸쳐서 기초 슬래브를 두는 경우의 기초.
233,"

건축주
건축용어사전

건축, 수선 또는 개축 공사의 청부 계약의 주문자 또는 청부 계약에 의하지 않고 스스로 이들의 공사를 하는 자를 말한다.
외국어 표기 client(영어), 建築主(한자)
동의어 owner

"
234,"드릴로 뚫은 구멍의 내면을 리머로 다듬질하는 작업. 리밍에 의해 구멍의 정확한 치수, 깨끗한 내면이 다듬질된다."
235,"

설계 변경
토목용어사전

일반적으로 이미 계획된 설계에 대한 부분적인 변경을 말한다. 발주자 또는 도급인이 제시하며, 발주자가 합의한 도급 계약 내용과 다른 공사 내용, 공사 착수의 시기 및 공사 완성의 시기 등이 필요한 경우에 이루어지는 계약 변경이다.
외국어 표기 change of design(영어), 設計變更(한자)

"
236,"부재 단면의 도심(圖心)을 이은 선. 부재에는 폭이나 두께가 있지만, 구조물의 응력 계산을 할 때는 재축으로 표현한 골조(뼈대)로 한다."
237,"기둥의 축력(軸力)이 매우 크고, 인장력이 거의 발생하지 않는 초고층의 하부 기둥 등에 있어서 상하 부재의 접촉면에서 축력을 전달시키는 이음 방법. 전 축력의 약 반을 이 방법으로 전할 수 있다."
238,"탄소강선을 수 10줄 꼬아서 스트랜드로 하고, 그 스트랜드를 다시 심강(心鋼. 심강을 쓰지 않는 것도 있다) 주위에 여러 줄 꼬아서 만든 로프. 스트랜드, 심강, 꼬는 방법의 구성은 용도에 따라 다양하다."
239,"용융한 아연을 도금한 강판. 아연 철판, 아연도 철판, 함석판이라고도 한다. 지붕 재료 · 외벽재로서 쓰인다."
240,도로나 주차장의 연석에 대하여 비스듬하게 주차하는 방법. 보통 45°주차와 60°주차의 두 가지가 있으나 일반적으로 60° 전진 주차가 사용상 편리하다. 직각 주차는 수용 대수가 가장 많다.
241,"

슬리브
금속용어사전

원통형 모양의 물체로, 기계 부품으로서는, 내연 기관의 실린더 내에 집어넣는 원통형의 주철품. 내마모성이 요구된다. 이를 라이너라고도 한다. 주조 분야에서는 발열 슬리브라고 하여, 압탕을 둘러싸고서 이를 보온 내지 가열하여 압탕 효과를 높이는 것이 있다.
외국어 표기 sleeve(영어)

"
242,단면과 어느 축 x가 주어졌을 때 미소 단면적 dA와 x축까지의 거리 y와의 곱을 전단면적에 대해서 구하고 총합한 것. 기호 Sx.
243,"

돌로마이트 플라스터
건축용어사전

소석회와 수산화 마그네슘을 포함한 미장 재료의 일종. 기경성(氣硬性)이고 여물을 필요로 한다. 백색의 미분재로, 물과 비벼서 사용한다. 벽 · 천장 등의 정벌칠 재료로서 사용된다.
외국어 표기 dolomite plaster(영어)
동의어 마그네시아 석회(-石灰, magnesia lime)

"
244,I형 단면의 형강. 강철 구조나 철골 철근 콘크리트 구조의 보 · 기둥 등에 사용된다. 그림은 표준 치수를 나타낸 것이다.
245,"재료의 단면에 대해서 다음 식으로 주어지는 값. 단위는 길이의 3승.S = ∫yda또, 단면의 도심(圖心)에서 축 X-X까지의 거리를 y0이라 하면Sx = y0AA : 단면적따라서 도심을 통하는 축에 관한 단면 1차 모멘트는 0이다."
246,일정한 수량에 대해 그 몇 할인가를 증가하는 것.
247,건축 기준법상 지상에 직접 통하는 출입구가 있는 층.
248,그림의 단면에서 x-x축에 관한 단면 2차 모멘트 Ix는 다음 식으로 주어진다. 단위는 길이의 4곱.
249,"

개별난방
부동산용어사전

각각의 주호가 단독으로 난방하는 방식이다. 연료는 연탄·전기·가스·석유 등을 사용하며, 주로 저층주택과 소규모단지 공동주택에서 많이 채용하는 방식이다. 대도시의 도시가스가 공급되는 지역은 도시가스 보일러를 이용하면서 많이 보급되고 있다. 난방방식의 종류는 개별난방, 중앙난방, 지역난방이 있다.
외국어 표기 個別暖房(한자)
마지막 수정일 2013. 9. (본문 내용 업데이트)

"
250,찰흙 등 미세한 입자를 포함하는 흙이 어느 면에서 미끄러지려고 할 때 이 면에 작용하는 전단 저항력 중 수직 압력에 관계없이 나타나는 저항력. 즉 내부 마찰각 φ가 0인 경우의 전단 저항력.
251,"

개수
철도관련큰사전

기계나 건축물 등의 열화(劣化)된 일부 또는 전체에 대하여 공사에 의한 성능, 기능을 초기의 수준(修繕) 혹은 그 이상의 수준(改良)까지 개선하는 것.
외국어 표기 改修(한자), improve and repair(영어)

"
252,"

스킵 플로어
인테리어 용어사전

한층에서 바닥의 일부를 높게 꾸미는 바닥의 구성법. 실내 공간의 개방성ㆍ경제성ㆍ동선의 단축을 위하여 보도, 계단 바닥에서 높게 입체적으로 구성한 바닥면. 메조넷 형식과 프렛트 형식의 경우가 있음. 프렛트의 경우는 공용 복도에서 각 주호에 이르는 전용계단이 필요하게 됨. 독립성과 변화공간의 강조와 공용부분의 절감, 통풍 일조 조건의 양호라는 이점이 있음.
외국어 표기 skip floor(영어)

"
253,"

대역폭
IT용어사전


			① 신호를 전송할 수 있는 주파수 범위 또는 폭. 신호가 차지하는 연속된 주파수 범위에서 기준값을 넘는 가장 큰 주파수[fH : 상한 주파수]와 가장 작은 주파수[fL : 하한 주파수]의 차이를 말한다. 즉, BW(대역폭) = fH(상한 주파수) - fL(하한 주파수). 대역폭의 단위는 헤르츠(Hz)를 사용한다.
			② 단위 시간당 전송할 수 있는 데이터 전송량. 주어진 시간 내에 전송할 수 있는 정보의 양으로 비피에스(bps) 단위를 사용한다. 
			
			신호를 전송하는 주파수 대역폭의 기준값은 일반적으로 스펙트럼의 최댓값을 나타내는 중심 주파수의 값보다 3데시벨(dB) 작은 값(–3dB)을 갖는 상한 주파수와 하한 주파수의 차이를 말한다. 
			
			그러나 국가안보나 항공기 등에서는 인접 채널에서 누설되는 간섭으로부터 해당 대역을 보호하기 위하여 기준값을 –40dB로 정하는 경우도 있다. 따라서 통상 기준값을 –χdB라고 표기하고 응용에 따라 그 값이 달라진다.
			대역폭은 정의하는 방법에 따라 영점 대 영점 대역폭(Null to Null bandwidth 또는 zero-crossing bandwidth), 99% 점유 대역폭(99% occupied bandwidth) 등으로 구분하기도 한다. 
			
			영점 대 영점 대역폭은 스펙트럼의 값이 영(zero)을 통과하는 범위의 주파수 대역폭이고, 99% 점유 대역폭은 전송 에너지의 99%를 포함하는 대역폭이다.
		
외국어 표기 BandWidth(영어), 帶域幅(한자)
약어 BW
동의어 주파수 대역폭

"
254,건축물 내 특히 계단실에 설치된 연직 방향의 배연통. 급기통과 병용하므로 효과적이다.
255,"회반죽, 진흙, 모르타르 등을 바르는 공사. 각종 마감 공사 중 건물의 우열을 결정하는 규준이 될 정도로 중요한 공사의 하나."
256,"

준불연재료
인테리어 용어사전

재료 자체는 간신히 연소되지만 크게 번지지 않는 것. 목모 시멘트판, 목편 시멘트판, 펄프 시멘트판, 석고 보드 등이 있다.
외국어 표기 non– combus tible materials(영어), 準不然材料(한자)

"
257,흡입 수면에서 토출 수면까지의 수직 높이.
258,"

칠러
화학용어사전

암모니아, 푸론 등의 용매를 사용하여 냉각수만으로는 달성할 수 없는 저온까지 유체를 냉각하는 냉각기를 말한다.
외국어 표기 chiller(영어), chilling machine(영어)

"
259,"

진공 차단기
철도관련큰사전

진공 중에서는 절연 내력이 매우 높은 것에 착안하여 고진공의 그릇 속에서 전로의 차단이 실시되는 차단기. 소형, 경량, 저소음, 생보수 및 기름을 사용하고 있지 않기 때문에 화재의 위험이 없는 등의 이점이 있다.
외국어 표기 vacuum circuit-breaker(영어)

"
260,"2인용의 폭이 넓은 침대. 침대의 규격은 표준화되어 있지 않고 가구회사마다 약간씩 다르지만, 일반적인 규격은 1350*2000mm, 1400*2000mm이다."
261,"

패럿
도금기술 용어사전

전기용량의 MKSA 단위. 어떤 전기용량을 갖는 물질에 1 쿨롱의 전기량을 주어, 그 전위가 1볼트만이 높아졌다고 하면, 그 전기용량을 1패럿(F)이라고 한다. 1패럿의 전기용량은 대단히 크기 때문에 실용상 1×10-6 패럿을 1마이크로 패럿(㎌), 1×10-12 패럿을 1피코 패럿(㎊)이라고 하고, 이와 같은 작은 단위를 사용하는 경우가 많다.
외국어 표기 Farad(영어)

"
262,"웨브재에 강판을 사용하여 단면을 I형으로 조립한 보. 하중이나 스팬의 대소에 따라 단면을 자유롭게 증감할 수 있는 이점이 있다. 일반적으로 보 높이는 스팬의 1/10~1/15 정도이다. 보 높이가 플랜지폭에 비해 크게 좌굴하기 쉬우므로 스티프너로 보강한다. 플랜지 부분은 휨 모멘트에, 웨브 부분은 전단력에 저항한다."
263,"

조립도
Basic 중학생을 위한 기술·가정 용어사전

한국 산업 규격(KS A 3007)에서는 두 개 이상의 부품이나 부분 조립품을 조립한(또는 조립하는) 상태에서 그 상호 관계나 조립에 필요한 치수 등을 나타낸 도면이라고 정의하고 있다. 즉 제품을 구성하고 있는 각 부품들의 조립된 상태를 나타낸 도면이다. 도면 속에 부품란을 포함하는 것과 별도로 부품표를 갖는 것이 있다.
외국어 표기 組立圖(한자)

"
264,"화재 발생시 이것을 검지하여 벨 등으로 경보하는 동시에 소방서 등에 통보하는 장치. 자동 화재 경보 설비, 전기 화재 경보 설비, 소방 기관으로 통보하는 화재 경보 설비, 경종 · 비상벨 · 사이렌, 기타의 비상 경보 기구 또는 비상 경보 설비로 분류된다."
265,"

냉방 부하
공조냉동건축설비 용어사전

냉방하는 실내의 온도와 습도를 상승시키는 원인이 되는 현열 또는 잠열의 부하로 공기 조화기에서 냉각기 용량을 결정하여 공기 조화 설계의 기초가 된다. 실내 부하에는 벽체나 유리·사잇바람·인체·기구 등이 있으며, 그 밖에 냉동 장치 속에 있는 송풍기나 덕트의 영향이나 재열 부하와 외기 부하 등을 고려해야 한다. 단위로 [kcal/h]를 사용하고 있다.
외국어 표기 cooling load(영어)

"
266,"건축 공사에 필요한 도면 및 시방서 등의 설계 도서를 작성하고, 그 공사가 설계 도서대로 이루어져 있는지 어떤지를 확인하는 작업. 넓은 뜻으로는 건축 기획에 대한 협력 및 계획 자료의 작성, 공사 계약에 관한 협력, 시공 중의 지도, 감독의 작업도 포함된다."
267,"

건축 허가
인테리어 용어사전

건축 법규에 규정된 일반적인 건축 행위를 그 법규에 정하는 바에 따라 허가 관청이 소정의 절차를 걸쳐 처리 하는 것으로 건축물을 신축, 증축, 개축, 재축, 이전하는 것과 건축물의 용도를 변경하는 것 그리고 대수선과 공작물의 축조 등도 일정규모를 넘을 때 건축허가를 받아야 한다.

"
268,"전자력으로 개폐 조작을 하게 하는 스위치로, 일종의 자동 개폐기이다. 철판제 케이스에 들어 있는 것으로, 전동기의 제어용으로 사용된다. 전동기의 소손을 발지하기 위해 바이메탈을 사용한 열동 계전기를 갖춘 것도 있다. 50HP 정도까지 사용된다."
269,"

비계공
토목용어사전

높은 곳의 임시 비계에서 각종 작업에 종사하는 기능인. 토목 건축 공사에서 비계의 구축 · 교량의 가설, 강색(鋼索)의 취급, 말뚝 박기, 중량물의 작은 운반 등의 작업에 종사한다.
외국어 표기 scaffolding man(영어), 飛階工(한자)

"
270,"

환기량
체육학대사전

실내 환기량은 1분간에 실내에 들어오는 대기량(m³)을 말한다. 인간의 환기량은 1분간에 폐에 들어가는 공기량(㎖)을 말한다. 실제로는 호기량(呼氣量)을 호흡량으로 하는데, 동양인의 경우는 300∼350㎖이고 매분 호흡량은 정상 안정시 6∼7ℓ/min이다.
외국어 표기 換氣量(한자), ventilatiory volume(영어)
분야 생리

"
271,"

케이블
기계공학용어사전

(1) 섬유 또는 철사로 만든 주위 약 254㎜ 이상의 굵은 로프
			(2) 지하 전선, 가공선(架空線), 해저(海底) 전선 등의 가설에 사용하는 것으로 여러 가닥의 전선을 하나로 묶어 이에 적당한 피복 처리를 한 것.
			(3) 아크 용접구의 일종으로 용접기와 용접 홀더, 용접기와 모체를 잇는 것을 말한다.
		
외국어 표기 cable(영어)
참조어 전선

"
272,"단면과 어느 축 X가 주어졌을 때 미소 면적 dA와 거기서부터 X축까지의 거리 y의 제곱과의 곱을 구하고, 총합한 것. 기호 I. 관성 모멘트라고도 한다."
273,"

한중 콘크리트
토목용어사전

일평균 기온이 4℃ 이하로 떨어질 것이 예상될 때는 한중 콘크리트로 시공한다. 한중 콘크리트의 기본은 초기 동해(凍害)의 방지이며, 이를 위해 적절한 초기 양생의 충분한 계획과 검토가 중요하다. 또한 콘크리트의 배합은 일반적으로 AE제 및 AE감수제를 사용한다.
외국어 표기 cold weather concreting(영어), 寒中-(한자)

"
274,셔터와 마찬가지로 상부로 들어 올려서 개방하는 대형문. 문은 양쪽의 레일을 따라 천장부에 수납된다. 스프링을 사용한 수동식의 것이 많다. 개폐가 간단하고 주차장이나 차고 등에 사용된다.
275,"조도를 측정하는 계기. 가장 보급되고 있는 것은 광전지 조도계이다. 수광기는 셀렌의 얇은 금속판으로, 여기에 빛이 닿으면 빛의 양에 비례한 기전력이 발생하여 전류가 흐른다. 이 전류를 광전류라 한다. 이 전류는 눈의 시감도와 근사하므로 전류계를 동작시켜 조도로 읽도록 되어 있다."
276,위험물의 폭발을 예방하거나 또는 폭발에 의한 피해를 방지하는 것.
277,"

중합
원자력용어사전

하나의 화합물이 2개 이상의 분자가 결합해서 몇 배가 되는 분자량을 가진 다른 화합물이 되는 것. 합성수지·합성고무 등 고분자 화합물은 주로 중합반응에 의해서 만들어진다. 종래의 화학공업에서의 중합은 열·압력을 가하거나 또 촉매가 사용되어 왔으나 방사선의 조사에 의해서도 가능하다.
외국어 표기 polymerization(영어), 重合(한자)
참조어 radiation polymerization

"
278,아스팔트 펠트 · 아스팔트 루핑류를 용해한 아스팔트로 여러층 접합하여 방수층을 형성하는 방수 공법. 일반적으로 널리 사용되고 있는 방수 공법이다.
279,"겹이음, T이음, 각이음에서 거의 직교하는 두 면의 만난선을 따라서 모살형으로 하는 용접."
280,"데릭의 일종. 마스트를 수직으로 세우고 마스트 하부에서 경사지게 경사주(붐: boom)를 내어 마스트 상부에서 경사주 선단을 통해 로프를 걸고, 로프 한 끝에 짐을 매달아 다른 끝을 인장함으로써 짐을 끌어올려 경사주의 기복 · 회전에 의하여 짐을 이동시키는 장치를 말한다."
281,"동식물 섬유를 원료로 한 펠트에 스트레이트 아스팔트를 침투시켜 양면을 블론 아스팔트(blown asphalt)로 피복하고, 표면에 점착 방지재를 살포한 것. 방수성이 크므로 방수 공사나 지붕 바탕에 쓰인다."
282,"온도계의 구부(球部)를 습하게 한 가제로 싼 것. 가제의 물의 증발 잠열에 의해 온도가 내려가는데, 건조하고 있을수록 증발량이 많고, 온도는 낮아진다."
283,"

프라이머
색채용어사전

물체 표면을 부식이나 물리적인 충격으로부터 보호하며 이후의 도장이 원활하게 이루어지도록 하기 위해 물체표면에 최초로 도장하는 것. 최종 도장 후에 물체의 표면 보호를 위하여 도장하는 것을 보조 프라이머라 한다. 또한 용제계 침적 프라이머와 전착 프라이머가 있는데, 후자는 음이온(anion) 전착과 양이온(cation) 전착이 있다.
외국어 표기 primer(영어)

"
284,"경사의 정도. 지붕의 경사를 나타낼 때 등에 사용되며, 각도로 나타낸다든지, 10을 분모로 했을 때의 분수, 높이/저변(예를 들면 3/10)으로 나타낸다. 3/10을 3/10물매라 한다."
285,무대와 객석과의 경계에 있는 개구부.
286,"

습공기 선도
건축용어사전

습공기의 상태를 나타낸 선도. 대기압하에 건구 온도, 습구 온도, 엔탈피, 절대 습도, 상대 습도, 노점 온도를 나타내고 있다. t-x선도, h-x선도 등이 있다.
외국어 표기 humidity chart(영어), 濕空氣線圖(한자)
동의어 습도 선도(濕度線圖, psychrometric chart)

"
287,"

슬라이딩 폼
산업안전대사전

활동 거푸집이라고도 하며, 굴뚝이나 사일로 등 평면형상이 일정하고 돌출부가 없는 높은 구조물에서 사용된다. 거푸집의 높이는 약 1.2m이고, 거푸집을 잭과 지지로드로 설치하고 요오크(york)로 서서히 끌어올리며 콘크리트를 부어넣기 때문에 공기(工期)를 1/3정도로 단축할 수 있고, 그리고 연속 타설로 콘크리트의 일체성을 확보할 수 있다.
외국어 표기 sliding form(영어)
동의어 활동 거푸집

"
288,"

급기구
공조냉동건축설비 용어사전

신선한 공기를 공급하는 입구로서, 통상 벽면 또는 천장 및 마루에 배치하고 공기량을 가감하는 댐퍼가 구비되어 있다.
외국어 표기 air inlet(영어)
동의어 공기 입구

"
289,"

수밀성
건축용어사전

압력수를 통하지 않는 재료. 부재 또는 부위의 성질. 일반적으로 흡수성, 투수성 등이 종합된 성질.
외국어 표기 watertightness(영어), 水密性(한자)

"
290,"플로트와 개폐기를 조합시킨 자동 스위치의 일종. 급수, 배수 펌프의 자동 운전에 사용한다. 수면에 플로트를 띄우고, 수면의 고저에 따라서 플로트가 상하하여 개폐기를 조작한다. 플로트와 개폐기와의 연락은 금속 막대 또는 사슬을 사용한다. 또 보일러 급수용의 것도 있다."
291,물체 내의 접근한 평행 2면에 크기가 같고 방향이 반대로 작용하는 하중. 이 하중이 작용하면 2면에 서로 미끄럼을 일으킨다. 전단력이라고도 한다.
292,"선재(線材)를 입체적으로 결합하여 만드는 트러스. 각 절점은 모든 방향으로 이동이 구속 되고, 부재의 좌굴이 생기기가 어렵다. 기준 격자를 사용하는 래티스 그리드 형식과 기준 뿔체를 접합하는 스페이스 그리드 형식이 주요한 것이다. 대 스팬의 구조에 쓰인다."
293,"

정
문화콘텐츠닷컴 (문화원형 용어사전)

통상 정자(亭子)라 일컫는데, 경치 좋은 곳에서 휴식을 목적으로 조성한 건축물로 낮은 마루로 형성된 것이 많다. 이규보의 사륜정기(四輪亭記)에 따르면, 일찍부터 정자는 손님을 접대하고 학문을 토론하며 풍류가 벌이지는 공간이다.
외국어 표기 亭(한자)
분류 의/식/주 > 한국전통 문화공간인 정원과 정자
참고자료 문화원형백과 한국전통 문화공간인 정원과 정자

"
294,"페인트, 니스, 에나멜, 수성 도료 등을 써서 건축물의 나무 부분이나 금속부, 벽면 등을 칠하여 부식의 방지와 보존을 도모하며, 아름답게 장식하는 공사."
295,"수준 측량에서 거리가 길 때나 고저차가 클 때 등에 측점간에 두는 보조 측점. 그림의 C, D, E점과 같이 전시(前視) · 후시(後視)를 읽으면서 측정한다."
296,"

폴리카보네이트
기계공학용어사전

전기 절연성, 치수 안정성이 좋고, 소화성(消火性), 내산성이 있으며, 내후성(耐候性)이 크고, 내충격성은 폴리아세탈 다음으로 큰 특징이 있어 전기 부품으로 가장 많이 사용된다. 연속적으로 힘이 작용하는 부품에는 부적당하나 단속적으로 강한 충격을 받는 부품에는 적당하므로 안전 헬멧, 포터블 툴하우징, 스포츠용품 등에 주로 사용된다.
외국어 표기 polycarbonates(영어)

"
297,"

전파 속도
IT용어사전

전파가 전파(propagation)되는 속도. 대기 중에서는 광속도 3×108m/s와 같다. 전리층과 같은 전리된 기체 속을 전파하는 경우 파(波)의 에너지가 전달되는 속도는 대기 중에서 좀 더 늦어진다.
외국어 표기 radio wave velocity(영어), 電波速度(한자)

"
298,처마끝에 설치하여 지붕면으로부터의 빗물을 받는 통.
299,"인체에 느끼는 온도의 체감은 주로 공기의 온도, 습도, 기류 및 주위의 열복사(평균복사 온도)의 4자에 기인하는 것으로 간주하고, 이들 물리적 요소를 환경의 온열요소라 한다."
300,"

고층 건축물
건축용어사전

고층의 건축물. 집합 주택에서는 층수가 30층 이상이거나  높이 120m 이상의 건축물을 말한다. 구조의 분야에서는 안전성의 검증에 동적 해석을 필요로 한다.
동의어 tall building, multi-story building

"
301,"

엘리미네이터
건축용어사전

일반적으로 제거 장치라는 뜻. 설비 용어로서는 공기 세척 장치 내에서 공기 중의 물방울을 제거하기 위해 사용하는 지그재그형의 방해판, 터보 냉동기의 증발기 속에 두는 것 등은 그 예이다.
외국어 표기 eliminator(영어)

"
